Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
Interleukin-6,Lymphotoxin-alpha,unknown,Interleukin-6,Lymphotoxin-alpha,18830264,"These data suggest that IFN-lambda1 can protect MM cells from dex-induced cell death, although not to the same degree as IL-6."
C-C motif chemokine 7,Macrophage metalloelastase,unknown,C-C motif chemokine 7,Macrophage metalloelastase,20838592,"The motifs associated with these hotspots and coldspots showed a clear and consistent ""mirror image"" pattern of enrichment at specific positions."
C-C motif chemokine 7,Macrophage metalloelastase,unknown,C-C motif chemokine 7,Macrophage metalloelastase,20838592,"For instance, in the case of DNMT3A, highly methylated CpG sites showed a significant over-representation of a T at position -2, while poorly methylated sites showed enrichment for an A at this position."
Fms-related tyrosine kinase 3 ligand,Macrophage metalloelastase,unknown,Fms-related tyrosine kinase 3 ligand,Macrophage metalloelastase,20838592,The observation of such patterns of reciprocal enrichment between hotspots and coldspots strongly suggests that the positions identified in our study are key in the selection of good or bad flanks.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,20838592,"Altogether, our data indicate that DNMT3A and DNMT3B discriminate between good and bad flanks by responding to the sequence composition at distinct positions around the CpG site."
Interleukin-10,Lymphotoxin-alpha,unknown,Interleukin-10,Lymphotoxin-alpha,26116503,Fold changes in transcript RNA (D and E) and protein levels of IL-10 and IL-12p40 (F and G) in cultures of WT BMMs exposed to 50 mug/ml 0-3hRP (closed circles) or corresponding media controls (open circles).
Interleukin-10,Lymphotoxin-alpha,unknown,Interleukin-10,Lymphotoxin-alpha,26116503,"(H and I) IL-10 and IL-12p40 produced by overnight cultures of WT, MyD88-/-, TLR2-/-, or TLR4-/- BMMs exposed to 50 mug/ml 0-3hRP or media."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,26116503,"ANOVA and multiple comparisons tests (Bonferroni, Dunnett, and Sidak) were performed to examine statistically significant differences (C-G) between 0-3hRP-treated BMMs and corresponding media control at each time point or (H and I) between treated BMMs from different strains of mice."
C-C motif chemokine 7,C-X-C motif chemokine 9,inhibits,C-C motif chemokine 7,C-X-C motif chemokine 9,23622515,"This indicated a temporal correlation between the requirement for Cdk7 and a specific readout of Cdk4/6 activity, and suggested that the stronger G1 block due to inhibition of Cdk7, relative to Cdk2, might be due to the additional loss of Cdk4/6 activation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21427083,Our data differ significantly from these previous results.
