PubMedID,Entity_1,Entity_2,Sentence,BioBERT_Relation,BioBERT_Conf,PubMedBERT_Relation,PubMedBERT_Conf,BioLinkBERT_Relation,BioLinkBERT_Conf,All_Agree,Avg_Confidence,Ensemble_Result,Ensemble_Conf,Decision_Method
1286614,Hepatocyte growth factor,heparin-binding polypeptide mitogen,"Hepatocyte growth factor (HGF), a heparin-binding polypeptide mitogen, stimulates DNA synthesis in adult rat and human hepatocytes and in several other cells of epithelial origin.",Association,0.7446410655975342,NO_RELATION,0.3329335749149322,NO_RELATION,0.9765000343322754,False,0.6846915582815806,,,Escalate_Single_Model
1290408,Granulocyte-macrophage colony-stimulating factor,cytokine,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is a cytokine which can stimulate the proliferation and functions of eosinophils and neutrophils.,Association,0.7213605046272278,Association,0.7520670890808105,NO_RELATION,0.9793782830238342,False,0.8176019589106241,,,Escalate_Single_Model
1294020,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine which has been suggested to function as an autocrine mitogen in psoriatic epidermis.,Association,0.8099101781845093,Association,0.8458406925201416,NO_RELATION,0.9836097955703736,False,0.8797868887583414,Association,0.8458406925201416,Accepted_By_Ensemble
1300486,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) plays a significant role in the pathogenesis of central nervous system infections.,Association,0.8872334957122803,Association,0.805098295211792,NO_RELATION,0.9952307343482972,False,0.8958541750907898,Association,0.8872334957122803,Accepted_By_Ensemble
1303245,Interleukin-8,neutrophil chemoattractants,Interleukin-8 (IL-8) is the prototype for a family of at least eight neutrophil chemoattractants whose genes map to human chromosome 4q13-q21.,Association,0.9057823419570924,NO_RELATION,0.4752393662929535,NO_RELATION,0.9876460433006288,False,0.7895559171835581,,,Escalate_No_Majority
1307490,Interleukin-2,cytokine,Interleukin-2 (IL-2) is a cytokine with potent immunomodulating properties which has shown considerable antitumour activity in preclinical models.,Association,0.8272244930267334,Association,0.6122145652770996,NO_RELATION,0.987703800201416,False,0.8090476195017496,,,Escalate_No_Majority
1307623,Hepatocyte growth factor,hepatotrophic factor,"Hepatocyte growth factor (HGF) is the most potent mitogen for mature parenchymal hepatocytes in primary culture, and seems to be a hepatotrophic factor that acts as a trigger for liver regeneration after partial hepatectomy and liver injury.",Association,0.5362746119499207,Association,0.6494336724281311,NO_RELATION,0.9411218762397766,False,0.7089433868726095,,,Escalate_Single_Model
1310016,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,0.8964650630950928,Association,0.8303296566009521,NO_RELATION,0.9729764461517334,False,0.8999237219492594,Association,0.8964650630950928,Accepted_By_Ensemble
1310016,Tumor necrosis factor,parathyroid hormone-related protein,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,0.8881852626800537,Association,0.7982994914054871,NO_RELATION,0.9060547947883606,False,0.8641798496246338,,,Escalate_No_Majority
1310016,Tumor necrosis factor,PTHrP,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,0.8909479975700378,Association,0.7913123965263367,NO_RELATION,0.9533735513687134,False,0.8785446484883627,,,Escalate_No_Majority
